genomeNo	speciesGenomeNo	taxonomy	lineage	biorank	D_name	catalogueGroup	catalogueName	quality	completeness	contamination	size	gc	contig	type	OTU	OTU_status	projectNo	sampleNo	runNo	tier	nDegKos	degKos	nDepolymeraseLoci	depolymeraseLoci	synthKos
GCMeta_00120792	GCMeta_00120792	g__JAJTCL01	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__JAJTCL01;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	89.81	6.11	7286166	66.25	1046	IMG/M	gcMeta_totalOTUv1.0_056927	representative	PRJNA741280	SAMN19865260	SRR15170210	3	1	K00019	0		K00023;K00626;K03821
GCMeta_00120794	GCMeta_00120794	g__SPCO01	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__SPCO01;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	64.66	1.72	2302003	70.05	385	IMG/M	gcMeta_totalOTUv1.0_056929	representative	PRJNA1017002	SAMN37388334	SRR26074872	3	1	K01907	0		
GCMeta_00120795	GCMeta_00120795	g__13-2-20CM-66-19	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__13-2-20CM-66-19;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	70.69	1.72	2835332	69.28	312	IMG/M	gcMeta_totalOTUv1.0_056930	representative	PRJNA1016843	SAMN37388426	SRR26075032	3	1	K01907	0		K00023;K00626
GCMeta_00120798	GCMeta_00120798	s__Aquella sp020697025	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__UBA11063;g__Aquella;s__Aquella sp020697025	species	Bacteria	Environments	Agricultural Soil	Medium-quality	98.12	2.44	2111899	33.56	23	IMG/M	gcMeta_totalOTUv1.0_033350	representative	PRJNA741280	SAMN19865260	SRR15170210	3	1	K00019	0		K00023;K00626;K03821
GCMeta_00120800	GCMeta_00120800	s__VGBV01 sp021323175	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__VGBV01;s__VGBV01 sp021323175	species	Bacteria	Environments	Agricultural Soil	Medium-quality	88.36	0	2074165	69.7	161	IMG/M	gcMeta_totalOTUv1.0_005104	representative	PRJNA741280	SAMN19865260	SRR15170210	3	1	K01907	0		K00626
GCMeta_00120802	GCMeta_00120802	g__PALSA-1003	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Casimicrobiaceae;g__PALSA-1003;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	93.29	8.54	3868812	64.29	300	IMG/M	gcMeta_totalOTUv1.0_056934	representative	PRJNA1016833	SAMN37388179	SRR26075026	3	1	K00019	0		K00023;K00626;K03821
GCMeta_00120803	GCMeta_00120803	g__JADGGM01	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__JADGGM01;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	95.6	2.2	3029422	66.6	344	IMG/M	gcMeta_totalOTUv1.0_056935	representative	PRJNA365501	SAMN06264335	SRR5451725	3	1	K01907	0		K00626
GCMeta_00120808	GCMeta_00120808	f__Nocardioidaceae	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__;s__	family	Bacteria	Environments	Agricultural Soil	Medium-quality	67.47	5.38	2835880	71.51	310	SPIRE	gcMeta_totalOTUv1.0_056940	representative	PRJNA539627	SAMN11532446	SRR9650392	3	1	K00019	0		K00626
GCMeta_00120810	GCMeta_00120810	g__JADGOP01	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__JADGOP01;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	83.62	0.85	3395804	72.01	512	IMG/M	gcMeta_totalOTUv1.0_056942	representative	PRJNA1016818	SAMN37388199	SRR26075055	3	1	K01907	0		K00626
GCMeta_00120815	GCMeta_00120815	g__JAFAVN01	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__JAFAMB01;g__JAFAVN01;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	81.54	5.12	5452441	53.9	782	SPIRE	gcMeta_totalOTUv1.0_056947	representative	PRJNA365534	SAMN06266325	SRR5456985	3	1	K00019	0		K00626
GCMeta_00120818	GCMeta_00120818	g__VAYN01	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__VAYN01;s__	genus	Bacteria	Environments	Agricultural Soil	High-quality	96.98	2.16	2944906	69.05	54	IMG/M	gcMeta_totalOTUv1.0_056950	representative	PRJNA1016853	SAMN37387870	SRR26075152	3	1	K01907	0		K00626
GCMeta_00120821	GCMeta_00120821	f__SCN-69-37	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__SCN-69-37;g__;s__	family	Bacteria	Environments	Agricultural Soil	Medium-quality	78.63	3.32	5227509	65.98	276	IMG/M	gcMeta_totalOTUv1.0_056953	representative	PRJNA1016870	SAMN37388335	SRR26074691	3	1	K01907	0		K00626
GCMeta_00120822	GCMeta_00120822	g__VRUE01	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__VRUE01;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	88.36	2.73	2336889	68.21	185	IMG/M	gcMeta_totalOTUv1.0_056954	representative	PRJNA1016834	SAMN37387908	SRR26074840	3	1	K01907	0		K00626
GCMeta_00120826	GCMeta_00120826	g__UBA5189	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__UBA5189;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	78.17	3.79	3105991	70.05	243	SPIRE	gcMeta_totalOTUv1.0_056958	representative	PRJNA365529	SAMN06266417	SRR5456973	3	1	K01907	0		
GCMeta_00120827	GCMeta_00120827	g__AG2	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__AG2;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	94.18	3.3	5598348	63.96	501	IMG/M	gcMeta_totalOTUv1.0_056959	representative	PRJNA1016870	SAMN37388335	SRR26074691	3	1	K01907	0		K00626
GCMeta_00120832	GCMeta_00120832	g__AG2	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__AG2;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	85.16	7.76	5868800	63.79	277	SPIRE	gcMeta_totalOTUv1.0_056962	representative	PRJNA365534	SAMN06266325	SRR5456985	3	1	K01907	0		
GCMeta_00120838	GCMeta_00120838	g__13-2-20CM-66-19	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__13-2-20CM-66-19;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	100	3.27	3745802	68.13	300	SPIRE	gcMeta_totalOTUv1.0_061838	member	PRJNA365533	SAMN06264558	SRR5456986	3	1	K01907	0		K00626
GCMeta_00120840	GCMeta_00120840	s__Aquella sp020697255	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__UBA11063;g__Aquella;s__Aquella sp020697255	species	Bacteria	Environments	Agricultural Soil	Medium-quality	98.17	3.05	2332357	35.66	10	IMG/M	gcMeta_totalOTUv1.0_033351	representative	PRJNA741279	SAMN19865261	SRR15168755	3	1	K00019	0		K00023;K00626;K03821
GCMeta_00120841	GCMeta_00120841	f__Ktedonobacteraceae	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__;s__	family	Bacteria	Environments	Agricultural Soil	Medium-quality	80.86	4.82	5035971	54.75	631	IMG/M	gcMeta_totalOTUv1.0_056969	representative	PRJNA365528	SAMN06266399	SRR5456970	3	1	K01907	0		K00023;K00626
GCMeta_00120851	GCMeta_00120851	f__CADCTP01	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__CADCTP01;g__;s__	family	Bacteria	Environments	Agricultural Soil	Medium-quality	80.6	5.3	6378196	73.82	769	IMG/M	gcMeta_totalOTUv1.0_056978	representative	PRJNA1017057	SAMN37387905	SRR26077939	3	1	K00019	0		K00626
GCMeta_00120854	GCMeta_00120854	g__13-2-20CM-66-19	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__13-2-20CM-66-19;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	97.88	2.49	4077531	65.53	287	SPIRE	gcMeta_totalOTUv1.0_056981	representative	PRJNA365535	SAMN06266400	SRR5456987	3	1	K01907	0		K00023;K00626
GCMeta_00120855	GCMeta_00120855	g__CADEED01	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__CADEED01;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	60.2	9.97	3824657	65.65	772	SPIRE	gcMeta_totalOTUv1.0_056982	representative	PRJNA365523	SAMN06266397	SRR5456946	3	1	K01907	0		K00626;K03821
GCMeta_00120856	GCMeta_00120856	f__Polyangiaceae	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__;s__	family	Bacteria	Environments	Agricultural Soil	High-quality	94.52	3.55	9216809	64.68	312	IMG/M	gcMeta_totalOTUv1.0_056983	representative	PRJNA1017017	SAMN37388140	SRR26077540	3	1	K00019	0		K00626
GCMeta_00120869	GCMeta_00120869	g__AP-15	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__ATCC43930;f__Stellaceae;g__AP-15;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	91.74	9.87	6875684	64.68	1141	SPIRE	gcMeta_totalOTUv1.0_056996	representative	PRJNA365528	SAMN06266399	SRR5456970	3	1	K00019	0		K00023;K00626;K03821
GCMeta_00120877	GCMeta_00120877	g__Palsa-744	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-744;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	90.17	3.85	2941136	69.44	187	IMG/M	gcMeta_totalOTUv1.0_057003	representative	PRJNA1016843	SAMN37388426	SRR26075032	3	1	K01907	0		K00626
GCMeta_00120886	GCMeta_00120886	g__JAQBQB01	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__JAQBQB01;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	99.99	5.95	5495151	63.51	50	SPIRE	gcMeta_totalOTUv1.0_057011	representative	PRJNA539624	SAMN11532597	SRR9650389	3	1	K01907	0		K00626
GCMeta_00120900	GCMeta_00120900	g__JAICSD01	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__2-12-FULL-66-21;g__JAICSD01;s__	genus	Bacteria	Environments	Agricultural Soil	High-quality	94.43	4.54	4594514	65.61	437	SPIRE	gcMeta_totalOTUv1.0_057024	representative	PRJNA539626	SAMN11533407	SRR9025829	3	1	K01907	0		K00626
GCMeta_00120901	GCMeta_00120901	g__Pseudonocardia	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__Pseudonocardia;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	56.9	9.38	4910001	73.71	1154	SPIRE	gcMeta_totalOTUv1.0_057025	representative	PRJNA502504	SAMN10351208	SRR8439256	3	1	K01907	0		K00023;K00626;K03821
GCMeta_00120904	GCMeta_00120904	f__Ktedonobacteraceae	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__;s__	family	Bacteria	Environments	Agricultural Soil	Medium-quality	59.6	4.4	4183285	55.01	717	IMG/M	gcMeta_totalOTUv1.0_057027	representative	PRJNA365500	SAMN06266408	SRR5451700	3	1	K01907	0		
GCMeta_00120916	GCMeta_00120916	g__JALZOC01	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__2-12-FULL-66-21;g__JALZOC01;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	87.03	4.46	7002269	63.12	290	SPIRE	gcMeta_totalOTUv1.0_057039	representative	PRJNA365505	SAMN06266411	SRR5451810	3	1	K01907	0		
GCMeta_00120917	GCMeta_00120917	s__Acinetobacter guillouiae	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter guillouiae	species	Bacteria	Environments	Agricultural Soil	Medium-quality	82.05	2.05	3255966	38.36	491	IMG/M	gcMeta_totalOTUv1.0_034785	member	PRJNA330398	SAMN05422222	SRR3989561	3	1	K00019	0		K00626
GCMeta_00120920	GCMeta_00120920	f__JAFGIB01	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__JAFGIB01;g__;s__	family	Bacteria	Environments	Agricultural Soil	Medium-quality	75.16	5.86	8815522	65.75	1287	IMG/M	gcMeta_totalOTUv1.0_057042	representative	PRJNA1017016	SAMN37388400	SRR26077926	3	1	K00019	0		K00626
GCMeta_00120921	GCMeta_00120921	g__JAQBQB01	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__JAQBQB01;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	95.56	3.66	5995963	64.55	84	IMG/M	gcMeta_totalOTUv1.0_057043	representative	PRJNA1016830	SAMN37387927	SRR26075153	3	1	K01907	0		K00626
GCMeta_00120923	GCMeta_00120923	g__VAYN01	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__VAYN01;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	89.07	4.02	2661610	69.1	220	IMG/M	gcMeta_totalOTUv1.0_057045	representative	PRJNA405209	SAMN07632558	SRR6476620	3	1	K01907	0		K00626
GCMeta_00120924	GCMeta_00120924	g__VRUE01	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__VRUE01;s__	genus	Bacteria	Environments	Agricultural Soil	High-quality	98.28	0.86	2577238	68.63	28	IMG/M	gcMeta_totalOTUv1.0_057046	representative	PRJNA1016813	SAMN37388180	SRR26075050	3	1	K01907	0		K00626
GCMeta_00120926	GCMeta_00120926	f__B-17BO	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__B-17B0;f__B-17BO;g__;s__	family	Bacteria	Environments	Agricultural Soil	Medium-quality	65.52	0	2806612	41.81	16	IMG/M	gcMeta_totalOTUv1.0_057048	representative	PRJNA741280	SAMN19865260	SRR15170210	3	1	K00019	0		K00023;K00626;K03821
GCMeta_00120931	GCMeta_00120931	f__Gemmataceae	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__;s__	family	Bacteria	Environments	Agricultural Soil	Medium-quality	90.42	5.48	8185006	68.88	902	SPIRE	gcMeta_totalOTUv1.0_057052	representative	PRJNA502505	SAMN10350961	SRR8439261	3	1	K00019	0		K00626
GCMeta_00120935	GCMeta_00120935	f__Chloroflexaceae	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Chloroflexaceae;g__;s__	family	Bacteria	Environments	Agricultural Soil	Medium-quality	71.65	1.89	5385231	69.2	752	IMG/M	gcMeta_totalOTUv1.0_057056	representative	PRJNA741280	SAMN19865260	SRR15170210	3	1	K01907	0		K00626
GCMeta_00120939	GCMeta_00120939	g__SBBV01	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Bin65;f__Bin65;g__SBBV01;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	60.92	4.21	3336358	67.66	768	SPIRE	gcMeta_totalOTUv1.0_057059	representative	PRJNA365515	SAMN06266416	SRR5456801	3	1	K00019	0		K00023;K00626;K03821
GCMeta_00120953	GCMeta_00120953	g__Conexibacter	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Conexibacter;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	93.69	7.46	3434949	72.7	116	SPIRE	gcMeta_totalOTUv1.0_057072	representative	PRJNA365535	SAMN06266400	SRR5456987	3	1	K01907	0		K00626
GCMeta_00120955	GCMeta_00120955	g__Actinophytocola	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__Actinophytocola;s__	genus	Bacteria	Environments	Agricultural Soil	High-quality	96.63	2.26	11179484	70.27	792	IMG/M	gcMeta_totalOTUv1.0_057074	representative	PRJNA1016878	SAMN37388072	SRR26074825	3	1	K00019	0		K00626;K03821
GCMeta_00120956	GCMeta_00120956	f__SG8-39	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__;s__	family	Bacteria	Environments	Agricultural Soil	Medium-quality	85.87	5.66	2966851	63.96	299	IMG/M	gcMeta_totalOTUv1.0_057075	representative	PRJNA1016830	SAMN37387927	SRR26075153	3	1	K01907	0		K00023;K00626
GCMeta_00120957	GCMeta_00120957	g__JAJPKK01	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__JAJPKK01;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	50.42	4.19	3366383	63.3	659	IMG/M	gcMeta_totalOTUv1.0_057076	representative	PRJNA1017003	SAMN37388384	SRR26074817	3	1	K00019	0		K00626
GCMeta_00120958	GCMeta_00120958	g__Sphingomicrobium	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	64.32	1.11	1538014	63.31	243	IMG/M	gcMeta_totalOTUv1.0_057077	representative	PRJNA539710	SAMN11532358	SRR9032198	3	1	K00019	0		K00023;K00626;K03821
GCMeta_00120974	GCMeta_00120974	g__Mycobacterium	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	50.68	6.75	4104968	66.35	1025	SPIRE	gcMeta_totalOTUv1.0_057091	representative	PRJNA571617	SAMN12812486	SRR10389008	3	1	K01907	0		K00626
GCMeta_00120978	GCMeta_00120978	g__Allosphingosinicella	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Allosphingosinicella;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	66.37	7.8	2903301	69.8	575	SPIRE	gcMeta_totalOTUv1.0_057095	representative	PRJNA365513	SAMN06266415	SRR5452256	3	1	K00019	0		K00626;K03821
GCMeta_00120983	GCMeta_00120983	g__Umezawaea_A	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__Umezawaea_A;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	51.38	0	3887646	73.01	35	IMG/M	gcMeta_totalOTUv1.0_057100	representative	PRJNA741280	SAMN19865260	SRR15170210	3	1	K01907	0		K00626
GCMeta_00120988	GCMeta_00120988	g__VAYN01	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__VAYN01;s__	genus	Bacteria	Environments	Agricultural Soil	High-quality	97.41	1.72	2984672	67.91	21	IMG/M	gcMeta_totalOTUv1.0_057105	representative	PRJNA1016826	SAMN37388143	SRR26075314	3	1	K01907	0		K00626
GCMeta_00120989	GCMeta_00120989	g__Gp6-AA40	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__Gp6-AA40;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	89.27	8.01	5373076	65.49	389	SPIRE	gcMeta_totalOTUv1.0_057106	representative	PRJNA518410	SAMN10863921	SRR8536189	3	1	K01907	0		K00626
GCMeta_00120994	GCMeta_00120994	g__VRUE01	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__VRUE01;s__	genus	Bacteria	Environments	Agricultural Soil	High-quality	96.98	1.29	2496828	68.62	34	IMG/M	gcMeta_totalOTUv1.0_057111	representative	PRJNA1016845	SAMN37388414	SRR26075068	3	1	K01907	0		K00626
GCMeta_00120995	GCMeta_00120995	g__Methyloceanibacter	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	71.02	7.45	1770185	64.29	306	IMG/M	gcMeta_totalOTUv1.0_057112	representative	PRJNA1016858	SAMN37388365	SRR26075151	3	1	K00019	0		K00023;K00626
GCMeta_00120999	GCMeta_00120999	f__Streptosporangiaceae	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__;s__	family	Bacteria	Environments	Agricultural Soil	High-quality	93.85	2.14	5655617	70.09	72	IMG/M	gcMeta_totalOTUv1.0_057115	representative	PRJNA1017016	SAMN37388400	SRR26077926	3	1	K01907	0		K00626
GCMeta_00121001	GCMeta_00121001	g__VAYN01	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__VAYN01;s__	genus	Bacteria	Environments	Agricultural Soil	High-quality	95.69	0.86	2674030	68.46	40	IMG/M	gcMeta_totalOTUv1.0_057117	representative	PRJNA1016860	SAMN37388364	SRR26075071	3	1	K01907	0		K00626
GCMeta_00121003	GCMeta_00121003	g__Acidoferrum	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Acidoferrum;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	85.45	0	5154881	56.79	370	IMG/M	gcMeta_totalOTUv1.0_057118	representative	PRJNA1016833	SAMN37388179	SRR26075026	3	1	K01907	0		K00626
GCMeta_00121004	GCMeta_00121004	f__JAFAMB01	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__JAFAMB01;g__;s__	family	Bacteria	Environments	Agricultural Soil	Medium-quality	95.02	4.75	5552229	54	292	SPIRE	gcMeta_totalOTUv1.0_057119	representative	PRJNA365527	SAMN06266398	SRR5456967	3	1	K00019	0		K00626
GCMeta_00121010	GCMeta_00121010	g__PALSA-1004	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-41;g__PALSA-1004;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	88.89	8.29	4924713	60.33	464	SPIRE	gcMeta_totalOTUv1.0_057124	representative	PRJNA365502	SAMN06266409	SRR5451719	3	1	K01907	0		K00023;K00626;K03821
GCMeta_00121013	GCMeta_00121013	g__VRUE01	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__VRUE01;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	72.48	1.29	1976875	68.56	272	IMG/M	gcMeta_totalOTUv1.0_057127	representative	PRJNA1016872	SAMN37387867	SRR26074693	3	1	K01907	0		K00626
GCMeta_00121016	GCMeta_00121016	g__JABWBJ01	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__JABWBJ01;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	85.81	1.14	4338804	63.48	398	SPIRE	gcMeta_totalOTUv1.0_057129	representative	PRJNA375187	SAMN06343755	SRR5687768	3	1	K01907	0		K00626
GCMeta_00121017	GCMeta_00121017	g__AP-15	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__ATCC43930;f__Stellaceae;g__AP-15;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	77.01	1.1	3837316	66.65	598	IMG/M	gcMeta_totalOTUv1.0_057130	representative	PRJNA1016849	SAMN37388100	SRR26075047	3	1	K00019	0		K00023;K00626;K03821
GCMeta_00121028	GCMeta_00121028	g__13-2-20CM-66-19	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__13-2-20CM-66-19;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	92.31	9.64	6150566	65.1	319	SPIRE	gcMeta_totalOTUv1.0_057140	representative	PRJNA365502	SAMN06266409	SRR5451719	3	1	K01907	0		K00626
GCMeta_00121029	GCMeta_00121029	f__Myxococcaceae	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__;s__	family	Bacteria	Environments	Agricultural Soil	Medium-quality	58.03	0.95	4784229	69.99	1124	SPIRE	gcMeta_totalOTUv1.0_057141	representative	PRJNA365538	SAMN06266421	SRR5496027	3	1	K00019	0		K00626
GCMeta_00121036	GCMeta_00121036	g__JAIRTY01	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__JAIRTY01;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	97.78	9.29	5530047	71	336	SPIRE	gcMeta_totalOTUv1.0_057148	representative	PRJNA365527	SAMN06266398	SRR5456967	3	1	K01907	0		K00023;K00626;K03821
GCMeta_00121047	GCMeta_00121047	g__Conexibacter	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Conexibacter;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	77.2	3.26	3004107	72.68	122	SPIRE	gcMeta_totalOTUv1.0_057158	representative	PRJNA539626	SAMN11533407	SRR9025829	3	1	K01907	0		K00626;K03821
GCMeta_00121050	GCMeta_00121050	g__VRUE01	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__VRUE01;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	63.62	6.03	1657343	68.96	189	IMG/M	gcMeta_totalOTUv1.0_057161	representative	PRJNA1016870	SAMN37388335	SRR26074691	3	1	K01907	0		K00626
GCMeta_00121051	GCMeta_00121051	g__VAYN01	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__VAYN01;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	70.11	2.08	2267882	69.28	367	SPIRE	gcMeta_totalOTUv1.0_057162	representative	PRJNA468420	SAMN09199718	SRR7967784	3	1	K01907	0		K00626
GCMeta_00121056	GCMeta_00121056	g__Palsa-739	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Palsa-739;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	51.38	3.59	1273238	69.81	278	IMG/M	gcMeta_totalOTUv1.0_057166	representative	PRJNA1016875	SAMN37388194	SRR26074819	3	1	K01907	0		
